"id","input","regex_jp","regex_zh","regex_en","output_ja","output_zh","output_en","alt","regex_id","pattern","order","response_type","action_id","condition","SpeechControl","emotion_change_type","emotion_change_value","WaitTime","HideUI","Animation","Priority","call_only","choice_yes_pattern","choice_no_pattern","sequence_progress_hold","RepeatCount","question_ja","question_en","question_cn","choice_yes_ja","choice_yes_en","choice_yes_cn","choice_no_ja","choice_no_en","choice_no_cn","yes_next_pattern","no_next_pattern","random_repeat_limit","timed_event_key","target_pattern","context","psychology_state","group","notes"
"PRD_DAILY_FEELING_INSTINCT_001","FEELING","","","","本当は、{{PLAYER_CALLING}}の指示を無視して、好きに遊びたい！","","","","PRD_DAILY_FEELING_INSTINCT_001","2","1","Reaction","","PsychologyState == ""INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_OBEDIENCE_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}に尽くしたいかな。","","","","PRD_DAILY_FEELING_OBEDIENCE_001","1","1","Reaction","","PsychologyState == ""OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_OBEDIENCE_001","FEELING","","","","今も、{{PLAYER_CALLING}}の命令まだかなーって思ってるよ！","","","","PRD_DAILY_FEELING_OBEDIENCE_001","2","1","Reaction","","PsychologyState == ""OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_SADISTIC_001","FEELING","","","","今の気持ち？……そんなこと聞いてどうするの？","","","","PRD_DAILY_FEELING_HOSTILITY_SADISTIC_001","1","1","Reaction","","PsychologyState == ""HOSTILITY_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY_SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_SADISTIC_001","FEELING","","","","{{PLAYER_CALLING}}の分際で、{{CAT_PRONOUN}}の機嫌を伺おうとしてるの？","","","","PRD_DAILY_FEELING_HOSTILITY_SADISTIC_001","2","1","Reaction","","PsychologyState == ""HOSTILITY_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY_SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_CONCERN_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}と仲直りしたいっていうか……","","","","PRD_DAILY_FEELING_HOSTILITY_CONCERN_001","1","1","Reaction","","PsychologyState == ""CONCERN_HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY_CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_CONCERN_001","FEELING","","","","どうして怒らせちゃったんだろって思ってる……。{{CAT_PRONOUN}}に悪いところがあったのかな？","","","","PRD_DAILY_FEELING_HOSTILITY_CONCERN_001","2","1","Reaction","","PsychologyState == ""CONCERN_HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY_CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_AFFECTION_001","FEELING","","","","今の気持ち？どうしたら{{PLAYER_CALLING}}がもーっと好きになってくれるかなって思ってるよ！","","","","PRD_DAILY_FEELING_HOSTILITY_AFFECTION_001","1","1","Reaction","","PsychologyState == ""AFFECTION_HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY_AFFECTION","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_AFFECTION_001","FEELING","","","","好きだから意地悪するんだよね？そういうのも受け入れてあげるからね。","","","","PRD_DAILY_FEELING_HOSTILITY_AFFECTION_001","2","1","Reaction","","PsychologyState == ""AFFECTION_HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY_AFFECTION","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_INSTINCT_001","FEELING","","","","今の気持ち？うーん、{{PLAYER_CALLING}}をどう教育してあげようかなって思ってるかな。","","","","PRD_DAILY_FEELING_HOSTILITY_INSTINCT_001","1","1","Reaction","","PsychologyState == ""HOSTILITY_INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_HOSTILITY_INSTINCT_001","FEELING","","","","力関係ってやつを、{{PLAYER_CALLING}}にもしっかり分かってもらわないといけないからね。","","","","PRD_DAILY_FEELING_HOSTILITY_INSTINCT_001","2","1","Reaction","","PsychologyState == ""HOSTILITY_INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","HOSTILITY_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_CONCERN_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}のことを絶対守らなきゃって感じ。","","","","PRD_DAILY_FEELING_AFFECTION_CONCERN_001","1","1","Reaction","","PsychologyState == ""AFFECTION_CONCERN""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION_CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_CONCERN_001","FEELING","","","","勝手にどこか行ったりしないでね？絶対に目の届く所にいてね？","","","","PRD_DAILY_FEELING_AFFECTION_CONCERN_001","2","1","Reaction","","PsychologyState == ""AFFECTION_CONCERN""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION_CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_SADISTIC_001","FEELING","","","","今の気持ち？ちっちゃな{{PLAYER_CALLING}}にそんなこと聞いてもらえるなんて嬉しい！","","","","PRD_DAILY_FEELING_AFFECTION_SADISTIC_001","1","1","Reaction","","PsychologyState == ""AFFECTION_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION_SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_SADISTIC_001","FEELING","","","","たーくさん可愛がってあげたい気持ちかな！いじめてあげるからね！","","","","PRD_DAILY_FEELING_AFFECTION_SADISTIC_001","2","1","Reaction","","PsychologyState == ""AFFECTION_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION_SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_OBEDIENCE_001","FEELING","","","","今の気持ち？今は{{PLAYER_CALLING}}が近くにいるし、話しかけてくれるから安心かな。","","","","PRD_DAILY_FEELING_AFFECTION_OBEDIENCE_001","1","1","Reaction","","PsychologyState == ""AFFECTION_OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION_OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_OBEDIENCE_001","FEELING","","","","……放っておいたりしないよね？急にすごく不安になる……かも。","","","","PRD_DAILY_FEELING_AFFECTION_OBEDIENCE_001","2","1","Reaction","","PsychologyState == ""AFFECTION_OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION_OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_INSTINCT_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}のことがとーっても大好き！いつもよりもっと大好き！","","","","PRD_DAILY_FEELING_AFFECTION_INSTINCT_001","1","1","Reaction","","PsychologyState == ""AFFECTION_INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_AFFECTION_INSTINCT_001","FEELING","","","","この溢れる大好きって気持ちを、ひとつ残らず{{PLAYER_CALLING}}に受け取ってほしいな！","","","","PRD_DAILY_FEELING_AFFECTION_INSTINCT_001","2","1","Reaction","","PsychologyState == ""AFFECTION_INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","AFFECTION_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_CONCERN_SADISTIC_001","FEELING","","","","今の気持ち？そんなこと、{{PLAYER_CALLING}}は気にしなくて良いんだよ。","","","","PRD_DAILY_FEELING_CONCERN_SADISTIC_001","1","1","Reaction","","PsychologyState == ""CONCERN_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","CONCERN_SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_CONCERN_SADISTIC_001","FEELING","","","","気持ちとかじゃなくて、今日も生きていくことだけ考えてなよ。なんの役にも立たないんだし。","","","","PRD_DAILY_FEELING_CONCERN_SADISTIC_001","2","1","Reaction","","PsychologyState == ""CONCERN_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","CONCERN_SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_CONCERN_OBEDIENCE_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}の命令は聞きたいけど、危ないことが多くて心配な感じ……。","","","","PRD_DAILY_FEELING_CONCERN_OBEDIENCE_001","1","1","Reaction","","PsychologyState == ""CONCERN_OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","CONCERN_OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_CONCERN_OBEDIENCE_001","FEELING","","","","何か、{{PLAYER_CALLING}}が安全なこと命令してくれないかな？そうしたら安心なんだけど……。","","","","PRD_DAILY_FEELING_CONCERN_OBEDIENCE_001","2","1","Reaction","","PsychologyState == ""CONCERN_OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","CONCERN_OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_CONCERN_INSTINCT_001","FEELING","","","","今の気持ち？実は、{{PLAYER_CALLING}}のことがどうしても危なっかしい子猫にしか見えなくて","","","","PRD_DAILY_FEELING_CONCERN_INSTINCT_001","1","1","Reaction","","PsychologyState == ""CONCERN_INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","CONCERN_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_CONCERN_INSTINCT_001","FEELING","","","","{{CAT_PRONOUN}}が面倒を見てあげなきゃ！って感じ。","","","","PRD_DAILY_FEELING_CONCERN_INSTINCT_001","2","1","Reaction","","PsychologyState == ""CONCERN_INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","CONCERN_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_SADISTIC_OBEDIENCE_001","FEELING","","","","今の気持ち？うーん、よく分からない……。{{PLAYER_CALLING}}のことをいじめたいのに、{{PLAYER_CALLING}}から命令されるのも気持ちいい……。どっちも楽しい！","","","","PRD_DAILY_FEELING_SADISTIC_OBEDIENCE_001","1","1","Reaction","","PsychologyState == ""OBEDIENCE_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","SADISTIC_OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_SADISTIC_INSTINCT_001","FEELING","","","","今の気持ち？今すぐ{{PLAYER_CALLING}}で遊びたい。かな。","","","","PRD_DAILY_FEELING_SADISTIC_INSTINCT_001","1","1","Reaction","","PsychologyState == ""INSTINCT_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","SADISTIC_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_SADISTIC_INSTINCT_001","FEELING","","","","{{PLAYER_CALLING}}が苦しそうな声を出したりすると、すっごく興奮する！","","","","PRD_DAILY_FEELING_SADISTIC_INSTINCT_001","2","1","Reaction","","PsychologyState == ""INSTINCT_SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","SADISTIC_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_OBEDIENCE_INSTINCT_001","FEELING","","","","今の気持ち？{{PLAYER_CALLING}}に尽くしたい！{{PLAYER_CALLING}}の役に立ちたい！","","","","PRD_DAILY_FEELING_OBEDIENCE_INSTINCT_001","1","1","Reaction","","PsychologyState == ""INSTINCT_OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","OBEDIENCE_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_FEELING_OBEDIENCE_INSTINCT_001","FEELING","","","","{{PLAYER_CALLING}}が喜ぶのが、{{CAT_PRONOUN}}の一番の喜びです！","","","","PRD_DAILY_FEELING_OBEDIENCE_INSTINCT_001","2","1","Reaction","","PsychologyState == ""INSTINCT_OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","FEELING","OBEDIENCE_INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_MORNING_HOSTILITY_001","MORNING","","","","朝だよ。……まだ怒ってる？敵は居ないよ？","","","","PRD_DAILY_MORNING_HOSTILITY_001","1","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","MORNING","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_MORNING_SADISTIC_001","MORNING","","","","朝だよ。ほら、早く起きろ！いつまで寝てるつもり？","","","","PRD_DAILY_MORNING_SADISTIC_001","1","1","Reaction","","PsychologyState == ""SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","MORNING","SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_MORNING_CONCERN_001","MORNING","","","","朝だよ。今日もここで目を覚ませてよかった。危険なことはしないでね？","","","","PRD_DAILY_MORNING_CONCERN_001","1","1","Reaction","","PsychologyState == ""CONCERN""","","","","","","","","","","","","","","","","","","","","","","","","","","","MORNING","CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_MORNING_AFFECTION_001","MORNING","","","","おはよう！今日も一緒に過ごそうね！","","","","PRD_DAILY_MORNING_AFFECTION_001","1","1","Reaction","","PsychologyState == ""AFFECTION""","","","","","","","","","","","","","","","","","","","","","","","","","","","MORNING","AFFECTION","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_MORNING_INSTINCT_001","MORNING","","","","おはよう。ネズミちゃん？じょ、じょうだんだよ！","","","","PRD_DAILY_MORNING_INSTINCT_001","1","1","Reaction","","PsychologyState == ""INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","MORNING","INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_MORNING_INSTINCT_001","MORNING","","","","……じょうだん。今日はどうする？","","","","PRD_DAILY_MORNING_INSTINCT_001","2","1","Reaction","","PsychologyState == ""INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","MORNING","INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_MORNING_OBEDIENCE_001","MORNING","","","","おはようございます。今日は何がしたい？なんなりと！","","","","PRD_DAILY_MORNING_OBEDIENCE_001","1","1","Reaction","","PsychologyState == ""OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","MORNING","OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DAY_HOSTILITY_001","DAY","","","","お昼だね。……食事くらい警戒せずに食べたら？","","","","PRD_DAILY_DAY_HOSTILITY_001","1","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","DAY","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DAY_SADISTIC_001","DAY","","","","お昼だよ。……一丁前に食事を要求するの？","","","","PRD_DAILY_DAY_SADISTIC_001","1","1","Reaction","","PsychologyState == ""SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","DAY","SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DAY_CONCERN_001","DAY","","","","{{PLAYER_CALLING}}！お腹空いてない？食べたいものある？","","","","PRD_DAILY_DAY_CONCERN_001","1","1","Reaction","","PsychologyState == ""CONCERN""","","","","","","","","","","","","","","","","","","","","","","","","","","","DAY","CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DAY_AFFECTION_001","DAY","","","","お昼だよ。{{PLAYER_CALLING}}、お昼を一緒に食べない？","","","","PRD_DAILY_DAY_AFFECTION_001","1","1","Reaction","","PsychologyState == ""AFFECTION""","","","","","","","","","","","","","","","","","","","","","","","","","","","DAY","AFFECTION","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DAY_INSTINCT_001","DAY","","","","お昼……じゅる……。ご、ごめん！ご飯食べようね！","","","","PRD_DAILY_DAY_INSTINCT_001","1","1","Reaction","","PsychologyState == ""INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","DAY","INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DAY_OBEDIENCE_001","DAY","","","","お昼だね。{{PLAYER_CALLING}}はどうする？{{CAT_PRONOUN}}に手伝わせてね！","","","","PRD_DAILY_DAY_OBEDIENCE_001","1","1","Reaction","","PsychologyState == ""OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","DAY","OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_EVENING_HOSTILITY_001","EVENING","","","","夕方だね。ねぇ、まだ怒ってるの？","","","","PRD_DAILY_EVENING_HOSTILITY_001","1","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","EVENING","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_EVENING_SADISTIC_001","EVENING","","","","夕方だね。さあ、{{CAT_PRONOUN}}を楽しませて？","","","","PRD_DAILY_EVENING_SADISTIC_001","1","1","Reaction","","PsychologyState == ""SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","EVENING","SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_EVENING_CONCERN_001","EVENING","","","","夕方だね。やりたいことはある？できれば安全なことがいいな……。","","","","PRD_DAILY_EVENING_CONCERN_001","1","1","Reaction","","PsychologyState == ""CONCERN""","","","","","","","","","","","","","","","","","","","","","","","","","","","EVENING","CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_EVENING_AFFECTION_001","EVENING","","","","夕方だね。一緒にやりたいことはある？","","","","PRD_DAILY_EVENING_AFFECTION_001","1","1","Reaction","","PsychologyState == ""AFFECTION""","","","","","","","","","","","","","","","","","","","","","","","","","","","EVENING","AFFECTION","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_EVENING_INSTINCT_001","EVENING","","","","夕方だね。{{PLAYER_CALLING}}。{{CAT_PRONOUN}}のやりたいこと、分かる？","","","","PRD_DAILY_EVENING_INSTINCT_001","1","1","Reaction","","PsychologyState == ""INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","EVENING","INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_EVENING_OBEDIENCE_001","EVENING","","","","夕方だね。{{PLAYER_CALLING}}、次はなにがしたいのかな？","","","","PRD_DAILY_EVENING_OBEDIENCE_001","1","1","Reaction","","PsychologyState == ""OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","EVENING","OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_NORMAL_001","DIARY_REACTION","","","","日記書くの？今日の思い出を聞かせてね。","","","","PRD_DAILY_DIARY_REACTION_NORMAL_001","1","1","Reaction","","PsychologyState == ""NORMAL""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","NORMAL","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_HOSTILITY_001","DIARY_REACTION","","","","日記書くの？……あまり嫌なことは書かないでよ？","","","","PRD_DAILY_DIARY_REACTION_HOSTILITY_001","1","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_SADISTIC_001","DIARY_REACTION","","","","日記書くの？そんなちっちゃい頭じゃ覚えていられないもんねぇ？","","","","PRD_DAILY_DIARY_REACTION_SADISTIC_001","1","1","Reaction","","PsychologyState == ""SADISTIC""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","SADISTIC","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_CONCERN_001","DIARY_REACTION","","","","日記書くの？テーブルから落ちたりしないでね？","","","","PRD_DAILY_DIARY_REACTION_CONCERN_001","1","1","Reaction","","PsychologyState == ""CONCERN""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","CONCERN","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_AFFECTION_001","DIARY_REACTION","","","","日記書くの？{{CAT_PRONOUN}}と{{PLAYER_CALLING}}だけの記録、しっかり残してね？","","","","PRD_DAILY_DIARY_REACTION_AFFECTION_001","1","1","Reaction","","PsychologyState == ""AFFECTION""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","AFFECTION","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_INSTINCT_001","DIARY_REACTION","","","","日記書くの？あ、あまり恥ずかしいことは書かないでね？","","","","PRD_DAILY_DIARY_REACTION_INSTINCT_001","1","1","Reaction","","PsychologyState == ""INSTINCT""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","INSTINCT","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_OBEDIENCE_001","DIARY_REACTION","","","","日記書くの？{{CAT_PRONOUN}}のもてなしが上手く出来てたか記録しておいて！","","","","PRD_DAILY_DIARY_REACTION_OBEDIENCE_001","1","1","Reaction","","PsychologyState == ""OBEDIENCE""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","OBEDIENCE","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_HOSTILITY_001_047","DIARY_REACTION","","","","{{PLAYER_CALLING}}、確認なんだけどさ。","","","","PRD_DAILY_DIARY_REACTION_HOSTILITY_001_047","1","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_HOSTILITY_001_047","DIARY_REACTION","","","","何回も何回も喧嘩したがってるけど、しつこく言ったら戦えると思ってる？","","","","PRD_DAILY_DIARY_REACTION_HOSTILITY_001_047","2","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
"PRD_DAILY_DIARY_REACTION_HOSTILITY_001_047","DIARY_REACTION","","","","{{CAT_PRONOUN}}と本気で戦いたいと思ってるんだよね？","","","","PRD_DAILY_DIARY_REACTION_HOSTILITY_001_047","3","1","Reaction","","PsychologyState == ""HOSTILITY""","","","","","","","","","","","","","","","","","","","","","","","","","","","DIARY_REACTION","HOSTILITY","DAILY","原稿から整理; 文章改変なし"
