id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern,sequence_progress_hold,RepeatCount,question_ja,question_en,question_cn,choice_yes_ja,choice_yes_en,choice_yes_cn,choice_no_ja,choice_no_en,choice_no_cn,yes_next_pattern,no_next_pattern,random_repeat_limit,timed_event_key,target_pattern,speaker
No_talk,,,,,何も話さないの？じゃあ{{CAT_PRONOUN}}が話しちゃおうかな！,,,,,No_talk3,1,Action,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,{{CAT_PRONOUN}}以外にも、野生には猫の仲間が沢山いるんだよね？,,,,,No_talk3,2,Action,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,よければ猫の仲間を教えてよ！,,,,,No_talk3,3,Action,TeachingMode:Start:Felidae,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,何も話さないの？じゃあ{{CAT_PRONOUN}}が話しちゃおうかな！,,,,,No_talk4,1,Action,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,猫が出てくる言葉を教えて！ことわざ？こじせいご？なんでもいいよ！,,,,,No_talk4,2,Action,TeachingMode:Start:CatExpression,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,何も話さないの？じゃあ{{CAT_PRONOUN}}が話しちゃおうかな！,,,,,No_talk5,1,Action,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,好きな天気はある？気象とかの話も気になる！,,,,,No_talk5,2,Action,TeachingMode:Start:FavoriteWeather,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,何も話さないの？じゃあ{{CAT_PRONOUN}}が話しちゃおうかな！,,,,,No_talk6,1,Action,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
No_talk,,,,,{{PLAYER_CALLING}}は、{{CAT_PRONOUN}}のどんな所が好き？,,,,,No_talk6,2,Action,TeachingMode:Start:FavoritePoint,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
PlayerNameCall,,,,,どうしたの？それって{{PLAYER_CALLING}}の名前だよね？,,,,,PlayerNameCall,1,Normal,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
PlayerNameCall,,,,,たまには、{{PLAYER_NAME}} って呼んだほうが良い？,,,,,PlayerNameCall,2,Normal,,,Random,,0,0,false,,100,false,,,false,0,,,,,,,,,,,,,,,
