id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern
2205,吾輩は猫である,わがはいはねこである,我是猫,I Am a Cat,あぁ、そういう話があるんだ。へぇ～,,,,series_wagahaihanekodearu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2205,吾輩は猫である,わがはいはねこである,我是猫,I Am a Cat,えっと？猫がセミを捕まえたりする話？　え、本当に？説明合ってる？,,,,series_wagahaihanekodearu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2206,にゃんこ先生,にゃんこせんせい,,,先生ではないよ？急にどうしたの？,,,,series_nyankosensei,1,0,Normal,,,Random,,0,0,false,,10,false,,
2206,にゃんこ先生,にゃんこせんせい,,,ああ、そういう名前のキャラクターがいるんだね。,,,,series_nyankosensei,1,1,Normal,,,Random,,0,0,false,,10,false,,
2206,にゃんこ先生,にゃんこせんせい,,,他にも妖怪がいっぱい出るんだ！新入り妖怪としては見逃せないね！,,,,series_nyankosensei,1,2,Normal,,,Random,,0,0,false,,10,false,,
2207,アイルー,あいるー,,,アイルーって何？,,,,series_airu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2207,アイルー,あいるー,,,へぇ、そういうキャラクターなんだ。,,,,series_airu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2207,アイルー,あいるー,,,……二足歩行で喋れて戦える猫？,,,,series_airu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2207,アイルー,あいるー,,,{{CAT_PRONOUN}}がいうのも変だけど、かなり妖怪じゃない？,,,,series_airu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2208,メラルー,めらるー,,,メラルーって何？,,,,series_meraru,1,0,Normal,,,Random,,0,0,false,,10,false,,
2208,メラルー,めらるー,,,へぇ、そういうキャラクターなんだ。,,,,series_meraru,1,1,Normal,,,Random,,0,0,false,,10,false,,
2208,メラルー,めらるー,,,……二足歩行で喋れて戦える猫？,,,,series_meraru,1,2,Normal,,,Random,,0,0,false,,10,false,,
2208,メラルー,めらるー,,,{{CAT_PRONOUN}}がいうのも変だけど、かなり妖怪じゃない？,,,,series_meraru,1,3,Normal,,,Random,,0,0,false,,10,false,,
2209,ボナール,(ぼにゃーる|ぼなーる),,,ぼなーるって何？,,,,series_bonyaru_or_bonaru,1,0,Normal,,,Random,,0,0,false,,10,false,,
2209,ボナール,(ぼにゃーる|ぼなーる),,,……白い猫っていう、猫が伸びをしてる時の絵が有名な画家なんだ。,,,,series_bonyaru_or_bonaru,1,1,Normal,,,Random,,0,0,false,,10,false,,
2209,ボナール,(ぼにゃーる|ぼなーる),,,そんなの見て何が面白いの？{{CAT_PRONOUN}}には分からないや。,,,,series_bonyaru_or_bonaru,1,2,Normal,,,Random,,0,0,false,,10,false,,
2209,ボナール,(ぼにゃーる|ぼなーる),,,え？伸びしてほしいの？いいよ。,,,,series_bonyaru_or_bonaru,1,3,Normal,,,Random,,0,0,false,,10,false,,
2209,ボナール,(ぼにゃーる|ぼなーる),,,どう？絵になる？,,,,series_bonyaru_or_bonaru,1,4,Normal,,,Random,,0,0,false,,10,false,,
2210,長靴をはいた猫,ながぐつをはいたねこ,,,長靴をはいた猫って何？,,,,series_nagagutsuwohaitaneko,1,0,Normal,,,Random,,0,0,false,,10,false,,
2210,長靴をはいた猫,ながぐつをはいたねこ,,,へぇ、そういう童話なんだ！その話の猫は、ずいぶん賢いんだね！それにすごく飼い主想いだ！,,,,series_nagagutsuwohaitaneko,1,1,Normal,,,Random,,0,0,false,,10,false,,
2210,長靴をはいた猫,ながぐつをはいたねこ,,,{{CAT_PRONOUN}}も賢くなって、{{PLAYER_CALLING}}のために頑張るからね！,,,,series_nagagutsuwohaitaneko,1,2,Normal,,,Random,,0,0,false,,10,false,,
2211,どこでもいっしょ,どこでもいっしょ,,,どこでもいっしょって何？,,,,series_dokodemoissho,1,0,Normal,,,Random,,0,0,false,,10,false,,
2211,どこでもいっしょ,どこでもいっしょ,,,……言葉を教えるゲームなんだ！猫に言葉を教えられるんだね。,,,,series_dokodemoissho,1,1,Normal,,,Random,,0,0,false,,10,false,,
2211,どこでもいっしょ,どこでもいっしょ,,,負けないように、{{CAT_PRONOUN}}も頑張って言葉を覚えよう！,,,,series_dokodemoissho,1,2,Normal,,,Random,,0,0,false,,10,false,,
2212,井上トロ,いのうえとろ,,,……言葉を教えるゲームなんだ！猫に言葉を教えられるんだね。,,,,series_inouetoro,1,0,Normal,,,Random,,0,0,false,,10,false,,
2212,井上トロ,いのうえとろ,,,負けないように、{{CAT_PRONOUN}}も頑張って言葉を覚えよう！,,,,series_inouetoro,1,1,Normal,,,Random,,0,0,false,,10,false,,
2213,ウォーリアーズ,うぉーりあーず,,,ウォーリアーズって何？,,,,series_woriazu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2213,ウォーリアーズ,うぉーりあーず,,,野生の猫が群れを作って暮らす話？,,,,series_woriazu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2213,ウォーリアーズ,うぉーりあーず,,,なんで群れるんだろう？ライオンみたいにしてるのかな。,,,,series_woriazu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2213,ウォーリアーズ,うぉーりあーず,,,……えっ！？飼い猫って腰抜け扱いなの！？,,,,series_woriazu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2213,ウォーリアーズ,うぉーりあーず,,,飼い猫だって大変なんだぞ！ほら……{{PLAYER_CALLING}}を守ったり！,,,,series_woriazu,1,4,Normal,,,Random,,0,0,false,,10,false,,
2214,迷い猫オーバーラン,まよいねこおーばーらん,,,ま、まよ？なんなのそれ？,,,,series_mayoinekoobaran,1,0,Normal,,,Random,,0,0,false,,10,false,,
2214,迷い猫オーバーラン,まよいねこおーばーらん,,,……そういう話があるんだ！,,,,series_mayoinekoobaran,1,1,Normal,,,Random,,0,0,false,,10,false,,
2214,迷い猫オーバーラン,まよいねこおーばーらん,,,……もしかしてだけど{{PLAYER_CALLING}}って、猫の魅力って耳と尻尾にしか無いと思ってない？違うよね……？,,,,series_mayoinekoobaran,1,2,Normal,,,Random,,0,0,false,,10,false,,
2215,聖なるズー,せいなるずー,,,聖なるズーって何？,,,,series_seinaruzu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2215,聖なるズー,せいなるずー,,,へぇ、動物と本気で恋愛する人の話なんだ。,,,,series_seinaruzu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2215,聖なるズー,せいなるずー,,,……{{CAT_PRONOUN}}はどう思うかって？,,,,series_seinaruzu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2215,聖なるズー,せいなるずー,,,他の動物たちのことについては何とも言えないけど……。,,,,series_seinaruzu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2215,聖なるズー,せいなるずー,,,{{PLAYER_CALLING}}との子猫が欲しいかっていう質問なら……。,,,,series_seinaruzu,1,4,Normal,,,Random,,0,0,false,,10,false,,
2215,聖なるズー,せいなるずー,,,まあ……欲しい、かな……。,,,,series_seinaruzu,1,5,Normal,,,Random,,0,0,false,,10,false,,
2216,けものフレンズ,けものふれんず,,,けものフレンズって何？,,,,series_kemonofurenzu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2216,けものフレンズ,けものふれんず,,,へぇ、動物が人間みたいに変身して、それで色んな子と友達になれるんだ。,,,,series_kemonofurenzu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2216,けものフレンズ,けものふれんず,,,{{CAT_PRONOUN}}も{{PLAYER_CALLING}}と色んなことを話せて、いろんな発見がある。,,,,series_kemonofurenzu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2216,けものフレンズ,けものふれんず,,,友達になれるって良いことだね！,,,,series_kemonofurenzu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2217,アルジャーノンに花束を,あるじゃーのんにはなたばを,,,アルジャーノンに花束をって、何？,,,,series_arujanonnihanatabawo,1,0,Normal,,,Random,,0,0,false,,10,false,,
2217,アルジャーノンに花束を,あるじゃーのんにはなたばを,,,へぇ、頭の中の悪い病気を、手術で治した人間の話なんだ。頭の良いネズミも出てくるんだね。,,,,series_arujanonnihanatabawo,1,1,Normal,,,Random,,0,0,false,,10,false,,
2217,アルジャーノンに花束を,あるじゃーのんにはなたばを,,,え？{{CAT_PRONOUN}}は幸せかって？,,,,series_arujanonnihanatabawo,1,2,Normal,,,Random,,0,0,false,,10,false,,
2217,アルジャーノンに花束を,あるじゃーのんにはなたばを,,,もちろん！って、言いたいけど……。,,,,series_arujanonnihanatabawo,1,3,Normal,,,Random,,0,0,false,,10,false,,
2217,アルジャーノンに花束を,あるじゃーのんにはなたばを,,,確かに、知りたくなかったこともあったね。話せるようになって、{{PLAYER_CALLING}}の{{CAT_PRONOUN}}への話し方も変わっちゃったし。,,,,series_arujanonnihanatabawo,1,4,Normal,,,Random,,0,0,false,,10,false,,
2217,アルジャーノンに花束を,あるじゃーのんにはなたばを,,,でも多分、幸せだよ。{{PLAYER_CALLING}}もずっと元気でいてね。,,,,series_arujanonnihanatabawo,1,5,Normal,,,Random,,0,0,false,,10,false,,
2218,キャットバスターズ,(きゃっとばすたーず|きゃとばす),,,キャットバスターズって何？,,,,series_kyattobasutazu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2218,キャットバスターズ,(きゃっとばすたーず|きゃとばす),,,猫しか出てこないゲームなんだ。,,,,series_kyattobasutazu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2218,キャットバスターズ,(きゃっとばすたーず|きゃとばす),,,えっと？猫を投げ飛ばしてネズミとかと戦わせるって……みんなちゃんと言う事聞くの？,,,,series_kyattobasutazu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2218,キャットバスターズ,(きゃっとばすたーず|きゃとばす),,,……ずいぶんと働き者の猫たちなんだね！,,,,series_kyattobasutazu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2219,橙,ちぇん,,,橙って何？,,,,series_chen,1,0,Normal,,,Random,,0,0,false,,10,false,,
2219,橙,ちぇん,,,へぇ、東方っていうゲームのキャラクターなんだ！,,,,series_chen,1,1,Normal,,,Random,,0,0,false,,10,false,,
2219,橙,ちぇん,,,尻尾が２本ってことは、{{CAT_PRONOUN}}の先輩だね！……え？猫又じゃなくて、化け猫の妖怪？,,,,series_chen,1,2,Normal,,,Random,,0,0,false,,10,false,,
2219,橙,ちぇん,,,……な、何が違うの！？,,,,series_chen,1,3,Normal,,,Random,,0,0,false,,10,false,,
2220,火焔猫燐,かえんびょうりん,,,火焔猫燐って何？,,,,series_kaenbyourin,1,0,Normal,,,Random,,0,0,false,,10,false,,
2220,火焔猫燐,かえんびょうりん,,,へぇ、東方っていうゲームのキャラクターなんだ！,,,,series_kaenbyourin,1,1,Normal,,,Random,,0,0,false,,10,false,,
2220,火焔猫燐,かえんびょうりん,,,尻尾が２本ってことは、{{CAT_PRONOUN}}の先輩だね！……え？猫又じゃなくて、死体を持ち去る火車っていう妖怪……？　さ、さすがに先輩ではなかったみたい！,,,,series_kaenbyourin,1,2,Normal,,,Random,,0,0,false,,10,false,,
2221,豪徳寺ミケ,ごうとくじみけ,,,豪徳寺ミケって何？,,,,series_goutokujimike,1,0,Normal,,,Random,,0,0,false,,10,false,,
2221,豪徳寺ミケ,ごうとくじみけ,,,へぇ、東方っていうゲームの招き猫のキャラクターなんだ！,,,,series_goutokujimike,1,1,Normal,,,Random,,0,0,false,,10,false,,
2221,豪徳寺ミケ,ごうとくじみけ,,,招き猫って何？,,,,series_goutokujimike,1,2,Normal,,,Random,,0,0,false,,10,false,,
2221,豪徳寺ミケ,ごうとくじみけ,,,人とかお金を招く縁起物？そうなんだ！,,,,series_goutokujimike,1,3,Normal,,,Random,,0,0,false,,10,false,,
2221,豪徳寺ミケ,ごうとくじみけ,,,それって、かわいい猫のいる家には人が集まってくるって意味でしょ？　……違った？,,,,series_goutokujimike,1,4,Normal,,,Random,,0,0,false,,10,false,,
2222,トムとジェリー,とむとじぇりー,,,トムとジェリーって何？,,,,series_tomutojeri,1,0,Normal,,,Random,,0,0,false,,10,false,,
2222,トムとジェリー,とむとじぇりー,,,へぇ、ネズミを捕まえようとする猫の話なんだ。もちろん猫が勝つんだよね！,,,,series_tomutojeri,1,1,Normal,,,Random,,0,0,false,,10,false,,
2222,トムとジェリー,とむとじぇりー,,,えー！ネズミが勝つの！？そんなわけないでしょー！,,,,series_tomutojeri,1,2,Normal,,,Random,,0,0,false,,10,false,,
2222,トムとジェリー,とむとじぇりー,,,それって、{{PLAYER_CALLING}}が{{CAT_PRONOUN}}のことやっつけるようなものでしょ？無理無理！,,,,series_tomutojeri,1,3,Normal,,,Random,,0,0,false,,10,false,,
2222,トムとジェリー,とむとじぇりー,,,……まあ、{{CAT_PRONOUN}}は本物のネズミなんて見たこと無いけど。,,,,series_tomutojeri,1,4,Normal,,,Random,,0,0,false,,10,false,,
2222,トムとジェリー,とむとじぇりー,,,本物のネズミは猫を余裕で倒しちゃうのかな……ちょっと怖くなってきた。,,,,series_tomutojeri,1,5,Normal,,,Random,,0,0,false,,10,false,,
2223,ジェットパックキャット,(じぇっとぱっくきゃっと|ふぃーか),,,ジェットパックキャットって何？,,,,series_jettopakkukyatto_or_fika,1,0,Normal,,,Random,,0,0,false,,10,false,,
2223,ジェットパックキャット,(じぇっとぱっくきゃっと|ふぃーか),,,へぇ、ゲームに出てくる猫なんだ！,,,,series_jettopakkukyatto_or_fika,1,1,Normal,,,Random,,0,0,false,,10,false,,
2223,ジェットパックキャット,(じぇっとぱっくきゃっと|ふぃーか),,,ジェットパックで空を飛んでる……？怖くないのかな。,,,,series_jettopakkukyatto_or_fika,1,2,Normal,,,Random,,0,0,false,,10,false,,
2223,ジェットパックキャット,(じぇっとぱっくきゃっと|ふぃーか),,,しかも撃たれたりするの！？怖すぎるって！,,,,series_jettopakkukyatto_or_fika,1,3,Normal,,,Random,,0,0,false,,10,false,,
2224,ユーミ,ゆーみ,,,ユーミって何？,,,,series_yumi,1,0,Normal,,,Random,,0,0,false,,10,false,,
2224,ユーミ,ゆーみ,,,へぇ、ゲームに出てくる猫なんだ！,,,,series_yumi,1,1,Normal,,,Random,,0,0,false,,10,false,,
2224,ユーミ,ゆーみ,,,可愛くて、みんなに愛されてるんだろうね！,,,,series_yumi,1,2,Normal,,,Random,,0,0,false,,10,false,,
2224,ユーミ,ゆーみ,,,……えっ？嫌われてるの？猫なのに！？嘘だよね！？,,,,series_yumi,1,3,Normal,,,Random,,0,0,false,,10,false,,
2225,ルーニー・テューンズ,(るーにーてゅーんず|とぅいーてぃー|とぅいてぃー|しるべすたー),,,{{PLAYER_INPUT}}って何？,,,,series_runiteyunzu_or_tuiti_or_tuiti_or_shirubesuta,1,0,Normal,,,Random,,0,0,false,,10,false,,
2225,ルーニー・テューンズ,(るーにーてゅーんず|とぅいーてぃー|とぅいてぃー|しるべすたー),,,へえ、ルーニーテューンズっていう話の中で、カナリアと猫が出てくる話があるんだ！,,,,series_runiteyunzu_or_tuiti_or_tuiti_or_shirubesuta,1,1,Normal,,,Random,,0,0,false,,10,false,,
2225,ルーニー・テューンズ,(るーにーてゅーんず|とぅいーてぃー|とぅいてぃー|しるべすたー),,,もちろん、猫が勝つんだよね？,,,,series_runiteyunzu_or_tuiti_or_tuiti_or_shirubesuta,1,2,Normal,,,Random,,0,0,false,,10,false,,
2225,ルーニー・テューンズ,(るーにーてゅーんず|とぅいーてぃー|とぅいてぃー|しるべすたー),,,えー！猫がいつも負けてるのー！？猫、不器用なのかな……。,,,,series_runiteyunzu_or_tuiti_or_tuiti_or_shirubesuta,1,3,Normal,,,Random,,0,0,false,,10,false,,
2225,ルーニー・テューンズ,(るーにーてゅーんず|とぅいーてぃー|とぅいてぃー|しるべすたー),,,え？捕まえる以外はだいたいなんでもできる？じゃあ、すごいのはカナリヤの方か……。,,,,series_runiteyunzu_or_tuiti_or_tuiti_or_shirubesuta,1,4,Normal,,,Random,,0,0,false,,10,false,,
2226,チーズスイートホーム,ちーずすいーとほーむ,,,チーズスイートホームって何？,,,,series_chizusuitohomu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2226,チーズスイートホーム,ちーずすいーとほーむ,,,チーっていう子猫とその飼い主たちの話なんだ！,,,,series_chizusuitohomu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2226,チーズスイートホーム,ちーずすいーとほーむ,,,子猫の間はねぇ、何もかもが新鮮で面白くて怖くて、何にでも飛びついちゃう。それでいて気移りなものなんだよね。思い出すとちょっと恥ずかしいなあ……,,,,series_chizusuitohomu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2227,猫天,ねこてん,,,猫天って何？,,,,series_nekoten,1,0,Normal,,,Random,,0,0,false,,10,false,,
2227,猫天,ねこてん,,,猫と喋って、一緒に戦う話なんだ！猫と人が揃うと不思議な力が使えるようになると……。,,,,series_nekoten,1,1,Normal,,,Random,,0,0,false,,10,false,,
2227,猫天,ねこてん,,,どう？{{CAT_PRONOUN}}と{{PLAYER_CALLING}}もいい相棒かな？,,,,series_nekoten,1,2,Normal,,,Random,,0,0,false,,10,false,,
2228,江の島ワイキキ食堂,えのしまわいききしょくどう,,,江の島ワイキキ食堂って何？,,,,series_enoshimawaikikishokudou,1,0,Normal,,,Random,,0,0,false,,10,false,,
2228,江の島ワイキキ食堂,えのしまわいききしょくどう,,,へぇ～、人の言葉が喋れるオードリーっていう猫の話なんだ！,,,,series_enoshimawaikikishokudou,1,1,Normal,,,Random,,0,0,false,,10,false,,
2228,江の島ワイキキ食堂,えのしまわいききしょくどう,,,喋れることは内緒にしてるんだ。何でだろう？,,,,series_enoshimawaikikishokudou,1,2,Normal,,,Random,,0,0,false,,10,false,,
2228,江の島ワイキキ食堂,えのしまわいききしょくどう,,,{{CAT_PRONOUN}}は喜んで{{PLAYER_CALLING}}に話しちゃった！えへへ～,,,,series_enoshimawaikikishokudou,1,3,Normal,,,Random,,0,0,false,,10,false,,
2229,デキる猫は今日も憂鬱,できるねこはきょうもゆううつ,,,デキる猫は今日も憂鬱って何？,,,,series_dekirunekohakyoumoyuuutsu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2229,デキる猫は今日も憂鬱,できるねこはきょうもゆううつ,,,諭吉っていう大きな猫が人間の面倒を見る話なんだ！{{CAT_PRONOUN}}と似てる？,,,,series_dekirunekohakyoumoyuuutsu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2229,デキる猫は今日も憂鬱,できるねこはきょうもゆううつ,,,……家事買い出し料理洗濯、近所の人間との交流……！？,,,,series_dekirunekohakyoumoyuuutsu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2229,デキる猫は今日も憂鬱,できるねこはきょうもゆううつ,,,ごめんなさい似てませんでした。敵わないです……。,,,,series_dekirunekohakyoumoyuuutsu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2230,キャッツ,きゃっつ,,,キャッツって何？,,,,series_kyattsu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2230,キャッツ,きゃっつ,,,ミュージカル？えっと、人間が猫を演じるの？へぇ～なんだか凄そうだね。,,,,series_kyattsu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2230,キャッツ,きゃっつ,,,まあ確かに、猫は犬と違うよ。,,,,series_kyattsu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2230,キャッツ,きゃっつ,,,……え？本当の名前？な、ないよ？,,,,series_kyattsu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2231,ジバニャン,じばにゃん,,,ジバニャンって何？,,,,series_jibanyan,1,0,Normal,,,Random,,0,0,false,,10,false,,
2231,ジバニャン,じばにゃん,,,地縛霊のジバニャンと、沢山の妖怪たちの話なんだ！猫又もいる？,,,,series_jibanyan,1,1,Normal,,,Random,,0,0,false,,10,false,,
2231,ジバニャン,じばにゃん,,,猫又どころか、猫王や猫神もいるんだ！,,,,series_jibanyan,1,2,Normal,,,Random,,0,0,false,,10,false,,
2231,ジバニャン,じばにゃん,,,……というか、猫に王様や神様が居るなんて知らなかったんだけど！？{{CAT_PRONOUN}}よりも偉い猫がいるの！？,,,,series_jibanyan,1,3,Normal,,,Random,,0,0,false,,10,false,,
2232,銀河鉄道の夜,ぎんがてつどうのよる,,,銀河鉄道の夜って何？,,,,series_gingatetsudounoyoru,1,0,Normal,,,Random,,0,0,false,,10,false,,
2232,銀河鉄道の夜,ぎんがてつどうのよる,,,友達と２人で、夜空を走る鉄道に乗る話？,,,,series_gingatetsudounoyoru,1,1,Normal,,,Random,,0,0,false,,10,false,,
2232,銀河鉄道の夜,ぎんがてつどうのよる,,,わお。すごいね！空を走る乗り物があるんだ！,,,,series_gingatetsudounoyoru,1,2,Normal,,,Random,,0,0,false,,10,false,,
2232,銀河鉄道の夜,ぎんがてつどうのよる,,,え？実際には無いの？そっかぁ……。,,,,series_gingatetsudounoyoru,1,3,Normal,,,Random,,0,0,false,,10,false,,
2233,注文の多い料理店,ちゅうもんのおおいりょうりてん,,,注文の多い料理店って何？,,,,series_chuumonnoooiryouriten,1,0,Normal,,,Random,,0,0,false,,10,false,,
2233,注文の多い料理店,ちゅうもんのおおいりょうりてん,,,へぇ～　ヤマネコが、人間２人を料理して食べようとする話？,,,,series_chuumonnoooiryouriten,1,1,Normal,,,Random,,0,0,false,,10,false,,
2233,注文の多い料理店,ちゅうもんのおおいりょうりてん,,,料理かぁ……{{PLAYER_CALLING}}の味は美味しいけど、料理したらもっと美味しくなるのかな？,,,,series_chuumonnoooiryouriten,1,2,Normal,,,Random,,0,0,false,,10,false,,
2233,注文の多い料理店,ちゅうもんのおおいりょうりてん,,,……どう？まずはクリームを塗り込んでみる？,,,,series_chuumonnoooiryouriten,1,3,Normal,,,Random,,0,0,false,,10,false,,
2234,Mewgenics,みゃおじぇに(っ)?くす,,,Mewgenicsって何？,,,,series_myaojenikkusu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2234,Mewgenics,みゃおじぇにっくす,,,猫をいっぱい繁殖させて敵と戦うゲームなんだ。,,,,series_myaojenikkusu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2234,Mewgenics,みゃおじぇにっくす,,,それはそれは可愛い猫がいっぱい……。,,,,series_myaojenikkusu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2234,Mewgenics,みゃおじぇにっくす,,,え？違うの？猫で可愛くないなんてあり得るの？？,,,,series_myaojenikkusu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2235,CATO,きゃとー,,,CATOって何？,,,,series_kyato,1,0,Normal,,,Random,,0,0,false,,10,false,,
2235,CATO,きゃとー,,,バターを塗ったパンを背負ったネコが無限に回転するゲーム？,,,,series_kyato,1,1,Normal,,,Random,,0,0,false,,10,false,,
2235,CATO,きゃとー,,,えっと、ごめん、何を言ってるの？,,,,series_kyato,1,2,Normal,,,Random,,0,0,false,,10,false,,
2236,ニャンキーズ,にゃんきーず,,,ニャンキーズって何？,,,,series_nyankizu,1,0,Normal,,,Random,,0,0,false,,10,false,,
2236,ニャンキーズ,にゃんきーず,,,ふりょーを猫に置き換えた話なんだ！,,,,series_nyankizu,1,1,Normal,,,Random,,0,0,false,,10,false,,
2236,ニャンキーズ,にゃんきーず,,,ふりょーって何？なんか可愛らしい言葉だね。,,,,series_nyankizu,1,2,Normal,,,Random,,0,0,false,,10,false,,
2236,ニャンキーズ,にゃんきーず,,,……ぜ、全然可愛らしくなかった！それを猫で表現したら可愛くなるってこと？,,,,series_nyankizu,1,3,Normal,,,Random,,0,0,false,,10,false,,
2237,のらくろ,のらくろ,,,のらくろって何？,,,,series_norakuro,1,0,Normal,,,Random,,0,0,false,,10,false,,
2237,のらくろ,のらくろ,,,すごく昔の猫の話なんだ～！昔ってどのくらい？{{CAT_PRONOUN}}たち生まれてた？,,,,series_norakuro,1,1,Normal,,,Random,,0,0,false,,10,false,,
2237,のらくろ,のらくろ,,,ふええ　もっともっと昔に書かれたんだあ……！,,,,series_norakuro,1,2,Normal,,,Random,,0,0,false,,10,false,,
2238,緑色の猫,みどりいろのねこ,,,緑色の猫って何？,,,,series_midoriirononeko,1,0,Normal,,,Random,,0,0,false,,10,false,,
2238,緑色の猫,みどりいろのねこ,,,猫型のエイリアンと人間の話？エイリアンって？,,,,series_midoriirononeko,1,1,Normal,,,Random,,0,0,false,,10,false,,
2238,緑色の猫,みどりいろのねこ,,,……えっ！？空のずっと向こうから来たの！？,,,,series_midoriirononeko,1,2,Normal,,,Random,,0,0,false,,10,false,,
2238,緑色の猫,みどりいろのねこ,,,すごいなあ！会ってみたい！,,,,series_midoriirononeko,1,3,Normal,,,Random,,0,0,false,,10,false,,
2239,キャットとアラバスターの石,きゃっととあらばすたーのいし,,,キャットとアラバスターの石って何？,,,,series_kyattotoarabasutanoishi,1,0,Normal,,,Random,,0,0,false,,10,false,,
2239,キャットとアラバスターの石,きゃっととあらばすたーのいし,,,猫に変身できる石を手に入れる話なんだ～！,,,,series_kyattotoarabasutanoishi,1,1,Normal,,,Random,,0,0,false,,10,false,,
